Property                                           Type     Read-only  Value
CONFIG.Write_Width_A                               string   false      128
CONFIG.Write_Width_B                               string   false      128
CONFIG.ecctype                                     string   false      No_ECC
CONFIG.register_porta_input_of_softecc             string   false      false
CONFIG.register_portb_output_of_softecc            string   false      false
CONFIG.softecc                                     string   false      false
CONFIG.use_bram_block                              string   false      BRAM_Controller
CORE_REVISION                                      int      true       2
DELIVERED_TARGETS                                  string*  true       synthesis simulation
DESIGN_TOOL_CONTEXTS                               string*  true       HDL IPI Sysgen
IPDEF                                              string   true       xilinx.com:ip:blk_mem_gen:8.4
IP_CORE_CONTAINER                                  string   true       
IP_DIR                                             string   true       v:/xdma_restore_stage_b2_syn/xdma_restore_stage_b2.srcs/sources_1/bd/xdma_restore_stage_b2/ip/xdma_restore_stage_b2_axi_bram_0_0
IP_FILE                                            string   true       v:/xdma_restore_stage_b2_syn/xdma_restore_stage_b2.srcs/sources_1/bd/xdma_restore_stage_b2/ip/xdma_restore_stage_b2_axi_bram_0_0/xdma_restore_stage_b2_axi_bram_0_0.xci
IS_LOCKED                                          bool     true       0
KNOWN_TARGETS                                      string*  true       instantiation_template synthesis simulation example misc changelog
NAME                                               string   true       xdma_restore_stage_b2_axi_bram_0_0
PART                                               string   true       xc7z100ffg900-2
SCOPE                                              string   true       v:/xdma_restore_stage_b2_syn/xdma_restore_stage_b2.srcs/sources_1/bd/xdma_restore_stage_b2/xdma_restore_stage_b2.bd
SELECTED_SIM_MODEL                                 string   false      rtl
STALE_TARGETS                                      string*  true       
SUPPORTED_TARGETS                                  string*  true       instantiation_template synthesis simulation example misc changelog
SUPPORTS_MODREF                                    bool     true       1
SW_VERSION                                         string   true       2018.3
UNSUPPORTED_SIMULATORS                             string*  true       
USED_LICENSE_KEYS                                  string*  true       
USER_LOCKED                                        bool     false      0
